Year,Month,Food and Non Alcoholic Beverages,Alcoholic Beverages and Tobacco,Clothing and Footwear,Housing and Utilities,Household Furnishings,Health Care,Transportation,Communication,"Recreation, Culture and Education",Food Away from Home,Miscellaneous Goods and Services,Total
2020,12,269.6,353.9,199.7,128,304.9,167.5,270.6,243.5,285.9,255.6,249.3,230.5
2021,1,275.2,366.2,200.9,128.4,314.7,168.6,277.2,243.8,296.7,259.7,270.4,236.4
2021,2,280,369.2,201,128.4,315.3,172.6,283.8,243.8,299.6,265.3,274.4,239.5
2021,3,290,372,204.4,129.2,319.5,176.4,285.9,245.1,310.4,268.7,279.1,244.6
2021,4,311.1,376.5,205.6,129.9,320.9,176.4,287.5,245.1,317,280.9,290,253.1
2021,5,328.3,404,211.8,131.5,339.8,180.4,297.6,245.4,327.9,299.6,303.3,263.8
2021,6,375,471.8,228,132,398.8,212.8,314.2,251.3,368.5,329.7,338.2,292.2
2021,7,401.1,490.4,232,134.5,405.3,212.8,342.8,281,384.8,357.6,354.3,308.8
2021,8,407.2,495.5,237.2,261.6,413.7,223.9,362.2,281.4,393.2,367.7,362.4,344.6
2021,9,416.4,497.8,240.6,261.9,417.4,224,367.8,281.4,396.3,375.6,364.1,349
2021,10,424.4,498.7,241.3,262.2,424.8,224.3,368.9,281.7,402,383.5,382.6,354.1
