ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,2010,60.573,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",,2010,59.904,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Total,,2010,115.392,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Agriculture,,2010,11.352,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Manufacturing,,2010,8.946,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Construction,,2010,17.824,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",,2010,12.103,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,2010,38.958,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",,2010,26.209,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Total,,2010,63.678,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Agriculture,,2010,3.052,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Manufacturing,,2010,3.172,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Construction,,2010,0.703,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",,2010,1.442,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,2010,21.615,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",,2010,33.695,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Total,,2010,179.07,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,,2010,14.404,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,,2010,11.481,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,,2010,12.117,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,,2010,2.063,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Construction ~ISIC rev.4 F,,2010,18.526,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,,2010,30.021,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,,2010,10.796,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,,2010,7.365,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,,2010,3.623,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,,2010,8.768,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,,2010,27.468,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Education ~ISIC rev.4 P,,2010,7.541,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,,2010,6.534,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,,2010,18.362,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Total,,2010,115.392,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,,2010,11.352,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,,2010,10.347,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,,2010,8.946,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,,2010,1.755,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Construction ~ISIC rev.4 F,,2010,17.824,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,,2010,18.725,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,,2010,9.411,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,,2010,2.779,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,,2010,1.838,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,,2010,6.205,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,,2010,16.183,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Education ~ISIC rev.4 P,,2010,1.67,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,,2010,1.814,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,,2010,6.543,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Total,,2010,63.678,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,,2010,3.052,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,,2010,1.133,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,,2010,3.172,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,,2010,0.308,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Construction ~ISIC rev.4 F,,2010,0.703,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,,2010,11.296,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,,2010,1.385,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,,2010,4.586,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,,2010,1.785,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,,2010,2.563,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,,2010,11.284,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Education ~ISIC rev.4 P,,2010,5.871,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,,2010,4.72,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,,2010,11.819,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Total,,2011,181.673,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,,2011,14.342,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Industry,,2011,45.389,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Broad sector): Services,,2011,121.942,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Total,,2011,116.047,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Agriculture,,2011,11.201,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Industry,,2011,39.877,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Broad sector): Services,,2011,64.97,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Total,,2011,65.625,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Agriculture,,2011,3.141,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Industry,,2011,5.513,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Broad sector): Services,,2011,56.972,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Total,,2011,181.673,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,,2011,14.342,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Manufacturing,,2011,12.143,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Aggregate): Construction,,2011,19.521,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",,2011,13.725,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,2011,61.942,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",,2011,60,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Total,,2011,116.047,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Agriculture,,2011,11.201,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Manufacturing,,2011,8.91,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Aggregate): Construction,,2011,18.75,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",,2011,12.216,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,2011,39.356,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",,2011,25.613,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Total,,2011,65.625,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Agriculture,,2011,3.141,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Manufacturing,,2011,3.233,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,Economic activity (Aggregate): Construction,,2011,0.771,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",,2011,1.508,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,2011,22.586,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Female,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",,2011,34.386,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Total,,2011,181.673,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,,2011,14.342,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,,2011,11.629,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,,2011,12.143,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Utilities ~ISIC rev.4 D; E,,2011,2.095,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Construction ~ISIC rev.4 F,,2011,19.521,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Wholesale and retail trade; repair of motor vehicles and motorcycles ~ISIC rev.4 G,,2011,30.36,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Transport; storage and communication ~ISIC rev.4 H; J,,2011,11.042,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Accommodation and food service activities ~ISIC rev.4 I,,2011,7.739,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Financial and insurance activities ~ISIC rev.4 K,,2011,3.705,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Real estate; business and administrative activities ~ISIC rev.4 L; M; N,,2011,9.097,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Public administration and defence; compulsory social security ~ISIC rev.4 O,,2011,27.752,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Education ~ISIC rev.4 P,,2011,7.53,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Human health and social work activities ~ISIC rev.4 Q,,2011,6.649,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Total,Economic activity (Detailed): Other services ~ISIC rev.4 R; S; T; U,,2011,18.069,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Total,,2011,116.047,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Agriculture; forestry and fishing ~ISIC rev.4 A,,2011,11.201,Adjusted,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Mining and quarrying ~ISIC rev.4 B,,2011,10.44,,,,
Suriname,"Employment by sex and economic activity -- ILO modelled estimates, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Sex: Male,Economic activity (Detailed): Manufacturing ~ISIC rev.4 C,,2011,8.91,Adjusted,,,
